Filename,Prediction,Confidence,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-2.jpg,a5c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\382\382-3-2.jpg,a4c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\384\384-4-2.jpg,a5c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\400\400-4-1.jpg,a5c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\468\468-2-3.jpg,a5c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\483\483-3-2.jpg,a4c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\604\604-4-3.jpg,a5c,0.993,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\637\637-4-3.jpg,a5c,0.993,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-2.jpg,a4c,0.992,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-1.jpg,a5c,0.992,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\343-352岱蓉\348\348-3-3.jpg,a5c,0.992,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\516\516-3-3.jpg,a5c,0.992,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\637\637-4-1.jpg,a5c,0.992,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\233-242秀娟\239\239-3-3.jpg,a5c,0.991,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\290\290-3-1.jpg,a5c,0.991,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\301\301-3-1.jpg,a4c,0.991,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\353-362秀娟\355\355-2-1.jpg,a5c,0.991,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\383\383-4-1.jpg,a5c,0.991,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-2-3.jpg,a5c,0.991,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\406\406-3-1.jpg,a5c,0.991,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\452\452-3-1.jpg,a5c,0.991,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\491\491-4-2.jpg,a5c,0.991,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\554\554-4-3.jpg,a5c,0.991,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\647\647-3-2.jpg,a5c,0.991,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\25\25-3-3.jpg,a4c,0.991,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\48\48-3-2.jpg,a4c,0.991,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\123-132琤珮\127\127-4-1.jpg,a5c,0.99,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\145\145-3-3.jpg,a4c,0.99,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\301\301-3-2.jpg,a4c,0.99,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\317\317-4-3.jpg,a5c,0.99,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\451\451-4-1.jpg,a5c,0.99,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\464\464-3-2.jpg,a4c,0.99,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\554\554-4-2.jpg,a5c,0.99,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-4-1.jpg,a5c,0.99,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-1.jpg,a5c,0.99,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\82\82-4-2.jpg,a5c,0.99,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\16\16-3-3.jpg,a4c,0.99,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\154\154-3-3.jpg,a4c,0.989,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\163-172岱蓉\167\167-3-1.jpg,a5c,0.989,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\197\197-3-2.jpg,a4c,0.989,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\198\198-3-2.jpg,a5c,0.989,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\384\384-3-3.jpg,a4c,0.989,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-3-2.jpg,a5c,0.989,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\433-442郁媛\437\437-3-3.jpg,a5c,0.989,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\469\469-3-3.jpg,a5c,0.989,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-4-1.jpg,a5c,0.989,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\38\38-4-3.jpg,a5c,0.989,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\273-282季蓁\278\278-3-3.jpg,a4c,0.988,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\353-362秀娟\355\355-2-3.jpg,a5c,0.988,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\443-452靜華\452\452-3-2.jpg,a5c,0.988,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\516\516-3-2.jpg,a5c,0.988,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\605\605-3-1.jpg,a5c,0.988,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-4-3.jpg,a5c,0.988,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\637\637-4-2.jpg,a5c,0.988,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\647\647-3-3.jpg,a5c,0.988,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\143-152芝嫻\146\146-3-2.jpg,a4c,0.987,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\218\218-3-3.jpg,a4c,0.987,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\220\220-3-1.jpg,a5c,0.987,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\303\303-3-3.jpg,a4c,0.987,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\515\515-3-3.jpg,a4c,0.987,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\16\16-3-2.jpg,a4c,0.987,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\40\40-3-1.jpg,a5c,0.987,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\123-132琤珮\131\131-4-2.jpg,a5c,0.986,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\226\226-3-1.jpg,a4c,0.986,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\253-262郁媛\261\261-3-1.jpg,a4c,0.986,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\303\303-3-2.jpg,a4c,0.986,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\321\321-3-2.jpg,a5c,0.986,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\343-352岱蓉\351\351-3-1.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\403\403-3-1.jpg,a5c,0.986,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\464\464-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\465\465-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\483\483-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\493-502郁媛\502\502-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\519\519-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\543-552琤珮\546\546-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\573-582季蓁\576\576-3-2.jpg,a5c,0.986,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\609\609-3-3.jpg,a4c,0.986,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\610\610-1-2.jpg,a5c,0.986,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\377\377-3-3.jpg,a4c,0.985,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\516\516-3-1.jpg,a5c,0.985,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\557\557-3-3.jpg,a4c,0.985,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\627\627-4-1.jpg,a5c,0.985,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\653\653-3-1.jpg,a4c,0.985,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\49\49-3-1.jpg,a4c,0.985,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\173-182秀娟\174\174-3-1.jpg,a5c,0.984,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\321\321-3-3.jpg,a5c,0.984,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\469\469-3-2.jpg,a5c,0.984,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\493-502郁媛\502\502-3-2.jpg,a4c,0.984,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\503-512芝嫻\505\505-3-1.jpg,a4c,0.984,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\606\606-3-1.jpg,a5c,0.984,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\653\653-3-2.jpg,a4c,0.984,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\253-262郁媛\257\257-3-3.jpg,a5c,0.983,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\263-272芝嫻\264\264-3-1.jpg,a4c,0.983,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\273-282季蓁\278\278-3-1.jpg,a4c,0.983,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\304\304-4-1.jpg,a5c,0.983,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\390\390-3-1.jpg,a5c,0.983,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\554\554-4-1.jpg,a5c,0.983,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\573-582季蓁\574\574-3-2.jpg,a5c,0.983,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\606\606-3-2.jpg,a5c,0.983,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\603-612琤珮\610\610-4-3.jpg,a5c,0.983,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\629\629-3-1.jpg,a4c,0.983,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\25\25-3-1.jpg,a4c,0.983,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\232\232-3-3.jpg,a5c,0.982,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\263-272芝嫻\271\271-3-3.jpg,a4c,0.982,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\306\306-3-3.jpg,a4c,0.982,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\317\317-4-2.jpg,a5c,0.982,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\353-362秀娟\355\355-2-2.jpg,a5c,0.982,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\363-372琤珮\369\369-3-3.jpg,a5c,0.982,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\394\394-3-2.jpg,a4c,0.982,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\433-442郁媛\437\437-3-1.jpg,a5c,0.982,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\503-512芝嫻\507\507-3-2.jpg,a4c,0.982,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\97\97-3-3.jpg,a4c,0.982,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\44\44-4-1.jpg,a5c,0.982,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\49\49-2-1.jpg,a5c,0.982,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\134\134-4-3.jpg,a5c,0.981,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\137\137-4-2.jpg,a5c,0.981,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\197\197-3-3.jpg,a4c,0.981,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\219\219-3-1.jpg,a4c,0.981,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\313-322郁媛\321\321-3-1.jpg,a5c,0.981,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\343-352岱蓉\348\348-1-1.jpg,a5c,0.981,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\382\382-3-3.jpg,a4c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\400\400-3-2.jpg,a5c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\464\464-3-1.jpg,a4c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\463-472岱蓉\465\465-3-1.jpg,a4c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\473-482秀娟\479\479-3-1.jpg,a5c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\563\563-4-3.jpg,a5c,0.981,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\573-582季蓁\576\576-3-1.jpg,a5c,0.981,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\624\624-3-2.jpg,a4c,0.981,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\623-632芝嫻\627\627-4-3.jpg,a5c,0.981,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\107\107-3-1.jpg,a4c,0.981,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\97\97-4-1.jpg,a5c,0.981,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\44\44-4-3.jpg,a5c,0.981,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\113-122秀娟\122\122-3-3.jpg,a4c,0.98,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\133-142郁媛\137\137-4-1.jpg,a5c,0.98,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\194\194-3-3.jpg,a4c,0.98,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\232\232-3-1.jpg,a5c,0.98,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\273-282季蓁\278\278-3-2.jpg,a4c,0.98,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\323-332芝嫻\331\331-4-3.jpg,a5c,0.98,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\402\402-3-1.jpg,a5c,0.98,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\393-402季蓁\402\402-3-2.jpg,a5c,0.98,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\411\411-3-3.jpg,a5c,0.98,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\483-492琤珮\491\491-4-1.jpg,a5c,0.98,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\567\567-3-1.jpg,a4c,0.98,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\571\571-4-2.jpg,a5c,0.98,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\593-602秀娟\594\594-3-1.jpg,a5c,0.98,Discard
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\18\18-2-1.jpg,a5c,0.98,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\154\154-3-2.jpg,a4c,0.979,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\219\219-3-3.jpg,a4c,0.979,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\220\220-2-3.jpg,a5c,0.979,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\263-272芝嫻\267\267-4-1.jpg,a5c,0.979,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\283-292岱蓉\286\286-2-1.jpg,a5c,0.979,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\303-312靜華\308\308-3-1.jpg,a4c,0.979,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\382\382-3-1.jpg,a4c,0.979,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\383\383-4-2.jpg,a5c,0.979,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\423-432琤珮\432\432-3-2.jpg,a4c,0.979,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\493-502郁媛\496\496-3-3.jpg,a4c,0.979,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\520\520-3-2.jpg,a5c,0.979,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\573-582季蓁\581\581-3-3.jpg,a4c,0.979,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\634\634-3-1.jpg,a4c,0.979,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\59\59-3-3.jpg,a4c,0.979,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\153-162季蓁\153\153-3-1.jpg,a4c,0.978,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\218\218-3-2.jpg,a4c,0.978,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\223-232岱蓉\231\231-3-3.jpg,a4c,0.978,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\273-282季蓁\280\280-3-1.jpg,a5c,0.978,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\379\379-4-3.jpg,a5c,0.978,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\384\384-3-2.jpg,a4c,0.978,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\383-392芝嫻\387\387-2-3.jpg,a5c,0.978,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\520\520-3-3.jpg,a5c,0.978,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\553-562郁媛\562\562-3-3.jpg,a4c,0.978,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\643-654靜華\645\645-4-3.jpg,a5c,0.978,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\100\100-3-3.jpg,a4c,0.978,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\103\103-3-3.jpg,a4c,0.978,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\99\99-3-3.jpg,a4c,0.978,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\184\184-3-2.jpg,a5c,0.977,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\263-272芝嫻\263\263-3-3.jpg,a5c,0.977,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\403-412岱蓉\404\404-2-1.jpg,a5c,0.977,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\453-462季蓁\459\459-3-2.jpg,a4c,0.977,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\513-522季蓁\519\519-3-2.jpg,a4c,0.977,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\523-532岱蓉\524\524-3-2.jpg,a5c,0.977,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\563-572芝嫻\571\571-4-3.jpg,a5c,0.977,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\635\635-3-3.jpg,a4c,0.977,Keep
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\633-642季蓁\641\641-4-3.jpg,a5c,0.977,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\105\105-4-2.jpg,a5c,0.977,Discard
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\78\78-3-3.jpg,a4c,0.977,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\87\87-3-2.jpg,a4c,0.977,Keep
中量積水編號 50-112 標定完成版\中量積水編號 50-112 標定完成版\98\98-3-1.jpg,a4c,0.977,Keep
高量積水編號 1-49 標定完成版\高量積水編號 1-49 標定完成版\39\39-3-3.jpg,a5c,0.977,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\123-132琤珮\131\131-3-3.jpg,a4c,0.976,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\183\183-3-2.jpg,a5c,0.976,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\183-192琤珮\183\183-3-3.jpg,a5c,0.976,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\193-202郁媛\194\194-3-1.jpg,a4c,0.976,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\219\219-3-2.jpg,a4c,0.976,Keep
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\213-222靜華\220\220-2-1.jpg,a5c,0.976,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\243-252琤珮\245\245-2-3.jpg,a5c,0.976,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\263-272芝嫻\269\269-4-2.jpg,a5c,0.976,Discard
中量積水編號 113-362標定完成版\中量積水編號 113-362標定完成版\293-302靜華\301\301-3-3.jpg,a4c,0.976,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\363-372琤珮\366\366-3-3.jpg,a4c,0.976,Discard
中量積水編號 363-654標定完成版\中量積水編號 363-654標定完成版\373-382靜華\377\377-3-2.jpg,a4c,0.976,Keep
